Player Name,School Name,Region,Team,Year
Will Isaac,Otterbein University,VII,Third,2023
Jaden Wright,John Carroll University,VII,Third,2023
Daniel Wunder,Calvin University,VIII,First,2023
Dylan Alic,Dominican University (Ill.),VIII,First,2023
Steven Arthur,Milwaukee School of Engineering,VIII,First,2023
Colin Iverson,Calvin University,VIII,First,2023
Oliver Akintade,Calvin University,VIII,First,2023
Jacopo De Collibus,North Central College,VIII,First,2023
Lyndon Hu,University of Chicago,VIII,First,2023
Zach Thompson,Milwaukee School of Engineering,VIII,First,2023
Enrique Gonzalez,Aurora University,VIII,First,2023
Chris Schau,Calvin University,VIII,First,2023
Aidan Westerberg,North Central College,VIII,First,2023
Ryan Yetishefsky,University of Chicago,VIII,First,2023
Jalen Depenbrock,Aurora University,VIII,Second,2023
Edoardo Bonifacio,North Central College,VIII,Second,2023
Jack Leuker,University of Chicago,VIII,Second,2023
Cole Pauly,Hope College,VIII,Second,2023
Jaziel Enriquez,Aurora University,VIII,Second,2023
Oscar Montejano,Dominican University (Ill.),VIII,Second,2023
Robbie Pino,University of Chicago,VIII,Second,2023
Mickey Reilly,Carthage College,VIII,Second,2023
Zach Thompson,Milwaukee School of Engineering,VIII,Second,2023
Pryse Anderson,Wheaton College (Ill.),VIII,Second,2023
Vicente Castro,Dominican University (Ill.),VIII,Second,2023
Aidan Crowder,Carthage College,VIII,Second,2023
Connor Dees,Milwaukee School of Engineering,VIII,Second,2023
Puma Galvan,Wisconsin Lutheran College,VIII,Third,2023
Nacho Diaz,Millikin University,VIII,Third,2023
Hugo Neborg,North Park University,VIII,Third,2023
Jack Leffel,Wisconsin Lutheran College,VIII,Third,2023
Christian Vaaland,North Park University,VIII,Third,2023
Owen Culver,Washington University (Mo.),VIII,Third,2023
Jack Fairwood,North Central College,VIII,Third,2023
Alex White,Calvin University,VIII,Third,2023
Kyle Johnson,Wheaton College (Ill.),VIII,Third,2023
Miguel Konde Gwo,Edgewood College,VIII,Third,2023
Joe Meade,St. Norbert College,VIII,Third,2023
Brennon Woody,Wartburg College,IX,First,2023
Otis Anderson,Gustavus Adolphus College,IX,First,2023
Justin Crawmer,Carleton College,IX,First,2023
Curtis Ratzer,Wartburg College,IX,First,2023
Paul Devine,Wartburg College,IX,First,2023
Victor Gaulmin,St. Olaf College,IX,First,2023
Trevor Jones,Carleton College,IX,First,2023
Shea Bechtel,St. Olaf College,IX,First,2023
Nathan Donovan,University of Wisconsin-Eau Claire,IX,First,2023
Hakeem Morgan,St. Olaf College,IX,First,2023
Ben Pennell,Carleton College,IX,First,2023
Jamie Colvill,Northland College,IX,Second,2023
Josh Bellamy,University of Wisconsin-Superior,IX,Second,2023
Nick Kent,Macalester College,IX,Second,2023
Konrad Ziaja,University of Wisconsin-Platteville,IX,Second,2023
Danny Gutzwiller,University of Wisconsin-Platteville,IX,Second,2023
Owen Johnson,Gustavus Adolphus College,IX,Second,2023
Peyton Nichols,University of Wisconsin-Whitewater,IX,Second,2023
Hans Haenicke,Macalester College,IX,Second,2023
Mizael Harris,Augsburg University,IX,Second,2023
Reed Milklavic,Loras College,IX,Second,2023
Wesley Sanders,Gustavus Adolphus College,IX,Third,2023
Seth Lawrence,University of Redlands,X,First,2023
Skylar Darwen,University of Redlands,X,First,2023
Curtis Hale,Colorado College,X,First,2023
Evan Karp,Occidental College,X,First,2023
Jarette Barajas,University of Redlands,X,First,2023
Etienne Casanova,California Institute of Technology,X,First,2023
Craig Johnson,Pacific Lutheran University,X,First,2023
Jack Manke,Texas Lutheran University,X,First,2023
Chen Adjei,Trinity University (Texas),X,First,2023
Michael Meese,Trinity University (Texas),X,First,2023
Andrew Notter,Occidental College,X,First,2023
Nick Gaston,Pacific Lutheran University,X,Second,2023
Pieter Blank,Trinity University (Texas),X,Second,2023
Tyler Sherard,California Lutheran University,X,Second,2023
Alex White,Pacific Lutheran University,X,Second,2023
Will Bavier,Colorado College,X,Second,2023
Louis Instrall,Trinity University (Texas),X,Second,2023
Joey Schwartz,Occidental College,X,Second,2023
Sawyer Young,University of Mary Hardin-Baylor,X,Second,2023
Cole Friesen,Whitworth University,X,Second,2023
Ishaan Mantripragada,California Institute of Technology,X,Second,2023
Trevor Thompson,Pacific Lutheran University,X,Second,2023
Riley Nyhan,Occidental College,X,Third,2023
Michael Webber,Bowdoin College,I,First,2022
Nick Boardman,Williams College,I,First,2022
Ian Daly,Tufts University,I,First,2022
Filipe Dutra,Western Connecticut State,I,First,2022
Dylan Reid,Bowdoin College,I,First,2022
Mamadi Jiana,Norwich University,I,First,2022
Julian Juantoreana,Bowdoin College,I,First,2022
Pandelis Margaronis,Hamilton College,I,First,2022
Ada Okorogheye,Amherst College,I,First,2022
Jordan Saint-Louis,Middlebury College,I,First,2022
Joseph Thongsythavong,Norwich University,I,First,2022
Hayes Estrella,University of Southern Maine,I,Second,2022
Ben Clark-Eden,Amherst College,I,Second,2022
Kameron Jorgenson,Norwich University,I,Second,2022
Larson Richards,Eastern Connecticut State University,I,Second,2022
Payton Blynn,Western Connecticut State,I,Second,2022
Alec Erskine,Emmanuel College,I,Second,2022
Michael Torres,University of St. Joseph (Conn.),I,Second,2022
Steve Yeonas,Connecticut College,I,Second,2022
Faisal Abdallah,Plymouth State University,I,Second,2022
Tife Agunloye,Bates College,I,Second,2022
Austin Ward,Saint Joseph's College of Maine,I,Second,2022
Ben Diffley,Williams College,I,Third,2022
Walker White,Babson College,II,First,2022
